Year,Poland,Latvia,Estonia,Hungary,Bulgaria,Czech Republic,Italy,Russian Federation
1960,2.98,1.94,1.98,2.02,2.31,2.09,2.37,2.52
1961,2.83,1.94,1.98,1.94,2.29,2.11,2.42,2.45
1962,2.72,1.91,1.95,1.79,2.24,2.12,2.44,2.36
1963,2.7,1.85,1.89,1.82,2.21,2.31,2.5,2.27
1964,2.57,1.79,1.94,1.82,2.19,2.34,2.65,2.18
1965,2.52,1.74,1.88,1.82,2.09,2.18,2.59,2.13
1966,2.34,1.76,1.87,1.89,2.03,2.02,2.57,2.1
1967,2.33,1.8,1.9,2.01,2.02,1.91,2.5,2.04
1968,2.24,1.83,2.03,2.06,2.27,1.84,2.49,1.99
1969,2.2,1.88,2.13,2.04,2.27,1.87,2.46,1.97
1970,2.2,1.96,2.17,1.98,2.17,1.92,2.38,1.99
1971,2.25,2,2.19,1.93,2.1,2,2.4,2.03
1972,2.24,2,2.13,1.93,2.03,2.09,2.35,2.04
1973,2.26,1.98,2.06,1.93,2.15,2.31,2.3,2.01
1974,2.26,1.97,2.07,2.27,2.29,2.46,2.28,2
1975,2.27,1.96,2.04,2.35,2.23,2.43,2.17,1.98
1976,2.3,1.93,2.07,2.23,2.24,2.39,2.04,1.97
1977,2.23,1.89,2.06,2.15,2.21,2.34,1.93,1.95
1978,2.21,1.87,2.02,2.06,2.15,2.33,1.84,1.92
1979,2.28,1.87,2,2.01,2.16,2.27,1.73,1.9
1980,2.28,1.86,2.02,1.91,2.05,2.08,1.64,1.89
1981,2.24,1.88,2.07,1.88,2,2,1.58,1.91
1982,2.34,1.97,2.07,1.8,2.01,2,1.56,2.04
1983,2.42,2.07,2.16,1.75,2.01,1.97,1.51,2.11
1984,2.37,2.09,2.17,1.75,2.01,1.97,1.46,2.06
1985,2.33,2.08,2.13,1.85,1.97,1.95,1.42,2.05
1986,2.22,2.12,2.18,1.84,2.02,1.92,1.35,2.15
1987,2.15,2.15,2.27,1.82,1.96,1.91,1.33,2.22
1988,2.13,2.11,2.27,1.81,1.97,1.94,1.36,2.12
1989,2.08,2.05,2.22,1.82,1.9,1.87,1.33,2.01
1990,2.06,2.02,2.05,1.87,1.82,1.9,1.33,1.892
1991,2.07,1.86,1.8,1.87,1.66,1.86,1.3,1.732
1992,1.95,1.73,1.71,1.77,1.55,1.71,1.3,1.552
1993,1.87,1.51,1.49,1.68,1.46,1.67,1.25,1.385
1994,1.81,1.39,1.42,1.64,1.37,1.44,1.21,1.4
1995,1.62,1.25,1.38,1.57,1.23,1.28,1.19,1.337
1996,1.59,1.16,1.37,1.46,1.23,1.18,1.2,1.27
1997,1.51,1.11,1.32,1.37,1.09,1.17,1.21,1.218
1998,1.44,1.09,1.28,1.32,1.11,1.16,1.21,1.232
1999,1.38,1.16,1.3,1.28,1.23,1.13,1.23,1.157
2000,1.37,1.25,1.36,1.32,1.26,1.15,1.26,1.195
2001,1.31,1.22,1.32,1.31,1.21,1.15,1.25,1.223
2002,1.25,1.26,1.36,1.3,1.23,1.17,1.27,1.286
2003,1.22,1.32,1.37,1.27,1.26,1.18,1.29,1.32
2004,1.23,1.29,1.47,1.28,1.33,1.23,1.34,1.344
2005,1.24,1.39,1.52,1.31,1.37,1.29,1.34,1.294
2006,1.27,1.46,1.58,1.34,1.44,1.34,1.37,1.305
2007,1.31,1.54,1.69,1.32,1.49,1.45,1.4,1.416
2008,1.39,1.58,1.72,1.35,1.56,1.51,1.45,1.502
2009,1.4,1.46,1.7,1.32,1.66,1.51,1.45,1.542
2010,1.41,1.36,1.72,1.25,1.57,1.51,1.46,1.567
2011,1.33,1.33,1.61,1.23,1.51,1.43,1.44,1.582
2012,1.33,1.44,1.56,1.34,1.5,1.45,1.43,1.691
2013,1.29,1.52,1.52,1.35,1.48,1.46,1.39,1.707
2014,1.32,1.65,1.54,1.44,1.53,1.53,1.37,1.75
2015,1.32,1.7,1.58,1.45,1.53,1.57,1.35,1.777
2016,1.39,1.74,1.6,1.53,1.54,1.63,1.34,1.762
2017,1.39,1.74,1.6,1.53,1.54,1.63,1.34,1.762