Year,Russian Federation
1960,2.520
1961,2.450
1962,2.360
1963,2.270
1964,2.180
1965,2.130
1966,2.100
1967,2.040
1968,1.990
1969,1.970
1970,1.990
1971,2.030
1972,2.040
1973,2.010
1974,2.000
1975,1.980
1976,1.970
1977,1.950
1978,1.920
1979,1.900
1980,1.890
1981,1.910
1982,2.040
1983,2.110
1984,2.060
1985,2.050
1986,2.150
1987,2.220
1988,2.120
1989,2.010
1990,1.892
1991,1.732
1992,1.552
1993,1.385
1994,1.400
1995,1.337
1996,1.270
1997,1.218
1998,1.232
1999,1.157
2000,1.195
2001,1.223
2002,1.286
2003,1.320
2004,1.344
2005,1.294
2006,1.305
2007,1.416
2008,1.502
2009,1.542
2010,1.567
2011,1.582
2012,1.691
2013,1.707
2014,1.750
2015,1.777
2016,1.762
2017,1.762